type_id,start_station_id,dest_station_id,price_start,price_dest,volume_remain_start,volume_remain_dest,supply_start,supply_dest,sell_price_low_dest,sell_price_avg_dest,sell_volume_avg_dest
196,60004588,60011866,88.87999725341797,184.0,37944,120199,129845,689688,179.8,179.8,672580.0
196,60005686,60011866,144.0,184.0,141791,120199,249211,689688,179.8,179.8,672580.0
196,60008494,60004588,53.4900016784668,88.87999725341797,99999,37944,223376,129845,33.08,85.055,188847.0
196,60008494,60011866,53.4900016784668,184.0,99999,120199,223376,689688,179.8,179.8,672580.0
197,60003760,60008494,85.73999786376953,154.0,65048,114880,792288,187080,88.35,91.6127,1023779.0
197,60003760,60011866,85.73999786376953,145.0,65048,100100,792288,306170,138.0,138.0,330738.0
197,60004588,60008494,91.5,154.0,2818,114880,6318,187080,88.35,91.6127,1023779.0
197,60004588,60011866,91.5,145.0,2818,100100,6318,306170,138.0,138.0,330738.0
197,60005686,60003760,74.98999786376953,85.73999786376953,192011,65048,277611,792288,85.96,99.3068,724676.0
197,60005686,60004588,74.98999786376953,91.5,192011,2818,277611,6318,126.3,261.723,11779.0
197,60005686,60008494,74.98999786376953,154.0,192011,114880,277611,187080,88.35,91.6127,1023779.0
197,60005686,60011866,74.98999786376953,145.0,192011,100100,277611,306170,138.0,138.0,330738.0
198,60003760,60004588,106.0,148.0,62668,31200,475896,281252,148.9,148.9,140664.0
198,60003760,60008494,106.0,128.10000610351562,62668,35000,475896,132200,110.5,111.114,240969.0
198,60008494,60004588,128.10000610351562,148.0,35000,31200,132200,281252,148.9,148.9,140664.0
198,60011866,60003760,60.0099983215332,106.0,100,62668,100,475896,56.01,143.779,108403.0
198,60011866,60004588,60.0099983215332,148.0,100,31200,100,281252,148.9,148.9,140664.0
198,60011866,60008494,60.0099983215332,128.10000610351562,100,35000,100,132200,110.5,111.114,240969.0
199,60003760,60004588,189.0,217.8999938964844,45300,8325,626010,151325,209.6,209.6,336748.0
199,60003760,60008494,189.0,224.8999938964844,45300,3505,626010,53505,200.0,200.536,314051.0
200,60004588,60008494,245.0,273.3999938964844,35000,43371,169100,529351,291.7,292.929,268318.0
200,60004588,60011866,245.0,280.0,35000,16544,169100,686483,247.6,248.314,902224.0
201,60011866,60008494,299.29998779296875,329.8999938964844,10088,44683,134295,1063649,307.8,307.889,1074889.0
202,60003760,60004588,369.2000122070313,487.0,37600,468435,1149598,468435,359.0,450.614,537824.0
202,60005686,60004588,439.7999877929688,487.0,14000,468435,165432,468435,359.0,450.614,537824.0
202,60008494,60004588,378.2999877929688,487.0,25500,468435,895472,468435,359.0,450.614,537824.0
202,60011866,60004588,389.7999877929688,487.0,100000,468435,329643,468435,359.0,450.614,537824.0
203,60003760,60004588,252.0,325.0,3124814,98472,10831890,129272,240.0,322.532,1418080.0
203,60003760,60008494,252.0,314.70001220703125,3124814,85500,10831890,132629,287.5,287.763,576173.0
203,60011866,60003760,220.0,252.0,2470,3124814,533674,10831890,373.2,373.973,3074342.0
203,60011866,60004588,220.0,325.0,2470,98472,533674,129272,240.0,322.532,1418080.0
203,60011866,60008494,220.0,314.70001220703125,2470,85500,533674,132629,287.5,287.763,576173.0
204,60003760,60004588,166.6999969482422,224.5,66531,22500,9413874,80200,324.0,356.879,1958847.0
204,60005686,60004588,198.8999938964844,224.5,55444,22500,76348,80200,324.0,356.879,1958847.0
204,60008494,60004588,172.0,224.5,9085,22500,345026,80200,324.0,356.879,1958847.0
204,60011866,60004588,172.0,224.5,121095,22500,1106575,80200,324.0,356.879,1958847.0
205,60003760,60004588,160.0,256.79998779296875,100,5499,12657483,1040724,230.0,267.568,1741767.0
205,60003760,60008494,160.0,199.3000030517578,100,5856,12657483,5856,177.7,177.795,789852.0
205,60008494,60004588,199.3000030517578,256.79998779296875,5856,5499,5856,1040724,230.0,267.568,1741767.0
205,60011866,60004588,174.6999969482422,256.79998779296875,71379,5499,295721,1040724,230.0,267.568,1741767.0
205,60011866,60008494,174.6999969482422,199.3000030517578,71379,5856,295721,5856,177.7,177.795,789852.0
206,60004588,60003760,63.91999816894531,71.80000305175781,37864,35868,216149,10244733,52.12,66.0082,12803020.0
206,60008494,60003760,64.9800033569336,71.80000305175781,192417,35868,1573126,10244733,52.12,66.0082,12803020.0
206,60011866,60003760,65.0,71.80000305175781,17686,35868,150142,10244733,52.12,66.0082,12803020.0
207,60004588,60003760,98.88999938964844,145.0,25927,29300,950316,3004066,118.7,176.829,4094343.0
207,60005686,60003760,99.98999786376952,145.0,48145,29300,172266,3004066,118.7,176.829,4094343.0
207,60008494,60003760,97.0,145.0,60578,29300,1472743,3004066,118.7,176.829,4094343.0
207,60011866,60003760,101.1999969482422,145.0,217919,29300,477235,3004066,118.7,176.829,4094343.0
208,60004588,60003760,78.9000015258789,97.37999725341795,10001,508260,10001,1048783,63.07,85.5716,6521237.0
208,60004588,60008494,78.9000015258789,88.0,10001,23000,10001,841741,70.0,71.6637,3968187.0
208,60005686,60003760,81.98999786376953,97.37999725341795,5119,508260,99086,1048783,63.07,85.5716,6521237.0
208,60008494,60003760,88.0,97.37999725341795,23000,508260,841741,1048783,63.07,85.5716,6521237.0
208,60011866,60003760,84.70999908447266,97.37999725341795,100,508260,1010170,1048783,63.07,85.5716,6521237.0
209,60008494,60011866,69.94999694824219,78.0,51029,972,3283286,772159,62.18,63.6471,2484829.0
210,60003760,60011866,15.850000381469728,17.489999771118164,880027,108040,5254805,1060113,15.0,15.6627,343709.0
210,60004588,60008494,14.899999618530272,16.459999084472656,246601,181495,386808,1366133,4.01,14.763,3466658.0
210,60004588,60011866,14.899999618530272,17.489999771118164,246601,108040,386808,1060113,15.0,15.6627,343709.0
210,60005686,60003760,14.0,15.850000381469728,8761,880027,65799,5254805,15.21,15.5259,37507315.0
210,60005686,60008494,14.0,16.459999084472656,8761,181495,65799,1366133,4.01,14.763,3466658.0
